Run Index,Center,E[T_S],E[N_S],E[T_Q],E[N_Q]
1,Noleggio,13558.454076306181,38.285758691967786,0.0,0.0
1,Ricarica,2001.2001219993383,0.5544672048445165,7.010688326166322E-13,1.9424328019538305E-16
1,Parcheggio,94.5398585162139,0.26566309390016174,7.751375299201092E-14,2.1781864033717434E-16
1,Strada,1722.5257404493889,4.783925757070288, , 
2,Noleggio,12568.07000938204,37.92610415964022,0.0,0.0
2,Ricarica,3086.05211118344,1.0767663070365463,0.0,0.0
2,Parcheggio,99.26478868469542,0.2669052556506684,1.1662701455924404E-13,3.1358917446130226E-16
2,Strada,1845.6663411295324,5.37002704101282, , 
3,Noleggio,20364.82598466514,52.073483010015956,0.0,0.0
3,Ricarica,2310.720571057752,0.6896917901689406,0.0,0.0
3,Parcheggio,98.04362442179543,0.23866530729393476,1.5461953886301128E-13,3.763867357415192E-16
3,Strada,1882.2752134416667,4.69978922218556, , 
4,Noleggio,20178.307586873645,49.41389585855648,0.0,0.0
4,Ricarica,2935.1534872499387,0.7820077667679584,0.0,0.0
4,Parcheggio,89.11574226685455,0.19857286998161458,0.0,0.0
4,Strada,1849.4174847469878,4.456056696672062, , 
5,Noleggio,10549.172886081562,29.587114138154064,0.0,0.0
5,Ricarica,2334.6036361580072,0.6256209585929898,9.885811975792698E-14,2.6491739621135833E-17
5,Parcheggio,101.09107142910162,0.26717927128257046,0.0,0.0
5,Strada,1774.1652185859648,4.824450367201613, , 
6,Noleggio,7688.569079046438,22.520919528445226,0.0,0.0
6,Ricarica,2507.1258961292424,0.593442884310959,0.0,0.0
6,Parcheggio,95.80420485334821,0.2795582814007237,0.0,0.0
6,Strada,1671.1507530819886,4.852583927745641, , 
7,Noleggio,14127.10515547458,39.11711457149395,0.0,0.0
7,Ricarica,2571.2151800999395,0.5676627239200945,0.0,0.0
7,Parcheggio,85.75783478857713,0.2297349912727227,1.825879514922924E-13,4.891313026500687E-16
7,Strada,1867.1688128010874,4.947841363385962, , 
8,Noleggio,4469.456387248189,13.079951001362149,0.0,0.0
8,Ricarica,2882.2408957322823,0.9124238916363833,0.0,0.0
8,Parcheggio,106.40084330005013,0.32083696407544354,1.8189894035458566E-13,5.484909891863418E-16
8,Strada,1592.1825631360446,4.6025112145136635, , 
9,Noleggio,11918.478412774539,31.708526126951465,0.0,0.0
9,Ricarica,3060.402988802845,0.8196109266092582,0.0,0.0
9,Parcheggio,94.86683682392626,0.25041462744079773,0.0,0.0
9,Strada,1638.1486481178813,4.329925769574775, , 
10,Noleggio,19592.164415087427,50.49924246527159,0.0,0.0
10,Ricarica,2500.1704447895836,0.6107546228170846,2.165463575649829E-13,5.289906902653011E-17
10,Parcheggio,90.34991449103221,0.2263489769943149,0.0,0.0
10,Strada,1920.5765018567447,4.878657880680471, , 
11,Noleggio,9391.525229288969,30.22585257917231,0.0,0.0
11,Ricarica,2548.9957752413993,0.7705670877086048,5.247084817920739E-13,1.586205401506525E-16
11,Parcheggio,95.17777440163404,0.2908697455455332,0.0,0.0
11,Strada,1853.4929334972066,5.747366153000102, , 
12,Noleggio,5548.187049910272,16.508951858462023,0.0,0.0
12,Ricarica,2464.2092938479846,0.763534420338848,0.0,0.0
12,Parcheggio,101.33582844510327,0.27788467506830694,0.0,0.0
12,Strada,1784.0423272485368,5.0399968357380995, , 
13,Noleggio,9368.96125122383,27.145696954683633,0.0,0.0
13,Ricarica,2424.178061554066,1.0507286483787845,0.0,0.0
13,Parcheggio,85.52427572191819,0.24406985276107004,1.512730983561095E-13,4.3170436149071454E-16
13,Strada,1765.1433688462091,5.016088787856768, , 
14,Noleggio,6269.923533640428,19.293209825276232,0.0,0.0
14,Ricarica,2696.4575487258476,1.1439545467952068,8.779150246280349E-13,3.724497293115644E-16
14,Parcheggio,92.144169024792,0.28114745994135215,0.0,0.0
14,Strada,1776.204919735718,5.3968248469316205, , 
15,Noleggio,16607.498651660222,44.221480405448276,0.0,0.0
15,Ricarica,3239.7266080173863,0.7540215605879835,7.73070496506989E-13,1.7992623846042717E-16
15,Parcheggio,90.53018447968286,0.22053754369016032,1.5537201155287524E-13,3.7849654215341053E-16
15,Strada,1627.9957124505006,4.23746688684266, , 
16,Noleggio,9187.239386076439,24.32686594065701,0.0,0.0
16,Ricarica,2961.4982488026267,0.705352977822474,0.0,0.0
16,Parcheggio,107.20985787269586,0.30047644566629395,2.926731400849867E-13,8.202733090006922E-16
16,Strada,1903.6633787524638,4.900072354708552, , 
17,Noleggio,2899.7449634352442,9.108084672875798,0.0,0.0
17,Ricarica,3158.623092177966,0.8239904042754682,0.0,0.0
17,Parcheggio,102.64372235473814,0.32384928861377266,0.0,0.0
17,Strada,1631.7273611215676,5.040750283009034, , 
18,Noleggio,28466.719264759166,69.22992695303655,0.0,0.0
18,Ricarica,1994.7693659158522,0.5573567873327225,0.0,0.0
18,Parcheggio,91.94159194469272,0.21031292257785172,0.0,0.0
18,Strada,1838.1346995007457,4.4351890595962145, , 
19,Noleggio,9454.551269597938,25.772175486068196,0.0,0.0
19,Ricarica,3159.5592397196187,0.732705789287215,0.0,0.0
19,Parcheggio,96.04698218481873,0.2630709478628343,9.875339717343765E-14,2.7048376958997753E-16
19,Strada,1784.9870404820715,4.816323521748962, , 
20,Noleggio,5771.411845256677,17.10024927683215,0.0,0.0
20,Ricarica,3022.3630374694485,1.1904265810782406,0.0,0.0
20,Parcheggio,93.1492060996893,0.26127256120573616,0.0,0.0
20,Strada,1848.391030791622,5.327586987820486, , 
21,Noleggio,20159.902524471534,53.54771634044791,0.0,0.0
21,Ricarica,2869.9020616259804,0.8098431307392415,0.0,0.0
21,Parcheggio,97.68323078253836,0.2452577842589116,1.0687610550787867E-13,2.6833875801505134E-16
21,Strada,1905.1756314898655,4.966149732362236, , 
22,Noleggio,5364.963794196842,17.94784426106764,0.0,0.0
22,Ricarica,1779.836165590991,0.6494341211761159,0.0,0.0
22,Parcheggio,109.74158011721777,0.35182974073298706,7.059254905457747E-14,2.2631857683317574E-16
22,Strada,1854.1226966658808,6.073968844086584, , 
23,Noleggio,8445.004305471222,26.090885063671337,0.0,0.0
23,Ricarica,3276.969984097179,0.8349291961072917,0.0,0.0
23,Parcheggio,89.09433259093065,0.256250057047913,0.0,0.0
23,Strada,1907.5072364725963,5.765821658632474, , 
24,Noleggio,26746.786518446937,66.85784525880352,0.0,0.0
24,Ricarica,2725.5837349426597,0.7161396262337232,4.134066826240583E-14,1.0862146826802404E-17
24,Parcheggio,90.2536346637085,0.21908134789810513,0.0,0.0
24,Strada,1833.5427825011418,4.519279621781487, , 
25,Noleggio,12530.66082607539,37.425380058227354,0.0,0.0
25,Ricarica,2144.5495314617137,0.8464919644419939,1.4712414293385605E-13,5.807252429559838E-17
25,Parcheggio,95.77489421939184,0.2561125765219647,0.0,0.0
25,Strada,1823.3526476785532,5.295275564800352, , 
26,Noleggio,4541.353761610942,15.092912777696991,0.0,0.0
26,Ricarica,2003.3114171065174,0.5570140291687381,0.0,0.0
26,Parcheggio,103.51829106992967,0.33302425207767644,6.006386435382142E-14,1.9322888058318077E-16
26,Strada,1887.6738668674104,6.123382949461065, , 
27,Noleggio,23365.209097945277,60.019593084178844,0.0,0.0
27,Ricarica,2906.4555248244556,0.6101582492091476,0.0,0.0
27,Parcheggio,94.2550525117501,0.23511985993870474,2.310751073690521E-13,5.764184033864893E-16
27,Strada,1722.5099268861886,4.307950882895202, , 
28,Noleggio,4124.348902590902,11.537194924957143,0.0,0.0
28,Ricarica,2355.046522651563,0.7695490218982767,6.496390726949488E-13,2.122799308509743E-16
28,Parcheggio,95.76071778877184,0.25920927354271966,0.0,0.0
28,Strada,1863.2271367927663,5.042982493803845, , 
29,Noleggio,5992.491966706543,18.4036624740757,0.0,0.0
29,Ricarica,2338.0007744528934,0.5146206999309263,2.674984416979201E-13,5.887946522568156E-17
29,Parcheggio,98.73561822687047,0.2842800326847569,0.0,0.0
29,Strada,1774.7346414834874,5.314186515947824, , 
30,Noleggio,14028.362975521284,40.8564211826901,0.0,0.0
30,Ricarica,2956.3559587201876,0.7753486355884331,0.0,0.0
30,Parcheggio,84.36983521194573,0.23914822080314907,1.2992781453898974E-13,3.68283351529428E-16
30,Strada,1870.2215165132268,5.290748942844103, , 
31,Noleggio,14107.948604185935,36.91371714425753,0.0,0.0
31,Ricarica,3876.0072274098366,1.0460912039415502,0.0,0.0
31,Parcheggio,95.10694748135327,0.24517073345486431,2.1666774005240723E-15,5.585353136801223E-18
31,Strada,1712.6040826128046,4.441919297293232, , 
32,Noleggio,15785.592227328538,42.1037913413182,0.0,0.0
32,Ricarica,2812.2736780816554,0.8833984331469261,0.0,0.0
32,Parcheggio,99.43872035491881,0.25803041354708356,0.0,0.0
32,Strada,1798.4362200253904,4.745000298796408, , 
33,Noleggio,9182.05283575643,28.88757755349973,0.0,0.0
33,Ricarica,2549.3154180961674,1.1324223897847776,0.0,0.0
33,Parcheggio,91.96569281242697,0.25998050455606214,0.0,0.0
33,Strada,1673.6815491425675,5.236059693237468, , 
34,Noleggio,7272.370607423594,21.536185615546522,0.0,0.0
34,Ricarica,3036.3521461316004,0.8571787240022825,7.809791460876232E-13,2.204746602822947E-16
34,Parcheggio,93.01014175148315,0.27381637808960757,1.0406373925305405E-14,3.063575179668857E-17
34,Strada,1545.4861927738493,4.4721664115348165, , 
35,Noleggio,23262.415694432606,59.186348265190254,0.0,0.0
35,Ricarica,2129.2593518523113,0.492671302081344,0.0,0.0
35,Parcheggio,92.65514532755837,0.2200581848887827,0.0,0.0
35,Strada,1879.8719801544144,4.717072993649149, , 
36,Noleggio,24081.612929870727,48.75088591637466,0.0,0.0
36,Ricarica,2559.021437649798,0.5470108256032022,0.0,0.0
36,Parcheggio,96.05309161673631,0.17476676938054755,3.546377628927481E-13,6.45256650024485E-16
36,Strada,1958.540902456337,3.834167170939744, , 
37,Noleggio,13036.048709023235,35.61437708264445,0.0,0.0
37,Ricarica,2969.995763540992,0.6713681058935723,3.114545658415106E-13,7.040436370576455E-17
37,Parcheggio,89.597122126806,0.23984663233707226,3.1535740202778707E-13,8.441946466972899E-16
37,Strada,1728.6972381102194,4.567904343489175, , 
38,Noleggio,19007.65793239844,49.29859215638483,0.0,0.0
38,Ricarica,2310.744547287923,0.6436457069486324,0.0,0.0
38,Parcheggio,109.0647563693575,0.26836099122286833,0.0,0.0
38,Strada,1756.779606267209,4.384603567051454, , 
39,Noleggio,8739.614463686667,24.724956629959117,0.0,0.0
39,Ricarica,2718.875873248117,0.7578673106286326,0.0,0.0
39,Parcheggio,96.34173360991024,0.26983425378718484,1.5549728630518556E-13,4.355173261255899E-16
39,Strada,1699.0844775528715,4.747480659197089, , 
40,Noleggio,4203.287045691007,12.076611922424819,0.0,0.0
40,Ricarica,2544.0178698959776,0.7156079759955483,0.0,0.0
40,Parcheggio,88.68554176545717,0.23423293030418477,1.570673415890748E-14,4.1484037807194286E-17
40,Strada,1759.1852826772274,4.9045468634056935, , 
41,Noleggio,1903.6499147396933,5.590525153290283,0.0,0.0
41,Ricarica,2425.9768923393663,0.6064962220379142,0.0,0.0
41,Parcheggio,94.19847068845714,0.30605373807394215,2.4332254836101273E-14,7.905624681515225E-17
41,Strada,1763.2846852101402,5.145570445086395, , 
42,Noleggio,6646.768305571114,19.811216903601935,0.0,0.0
42,Ricarica,2431.9456240872523,0.4064561750025564,0.0,0.0
42,Parcheggio,103.88717018202126,0.3317355967159162,1.2174826803278516E-13,3.887701847515997E-16
42,Strada,1816.4701292790176,5.28027672491124, , 
43,Noleggio,7379.370086105745,20.802744524290095,0.0,0.0
43,Ricarica,3220.9746401407006,1.1319991769331412,0.0,0.0
43,Parcheggio,95.42650431490001,0.245933468098256,0.0,0.0
43,Strada,2130.9914012163763,5.727951309756869, , 
44,Noleggio,14525.977528126748,37.923387872563886,0.0,0.0
44,Ricarica,3076.818012580415,0.7813563317923876,8.391171355643088E-14,2.1309335953828306E-17
44,Parcheggio,92.17003913328557,0.23149726666691142,0.0,0.0
44,Strada,1885.5980824559483,4.758265398302589, , 
45,Noleggio,14423.329203510595,39.73775453373355,0.0,0.0
45,Ricarica,2364.3298318465468,0.9201066400901983,0.0,0.0
45,Parcheggio,85.38691598533273,0.23250341293467588,0.0,0.0
45,Strada,1381.7922966105896,3.7683795222892513, , 
46,Noleggio,2817.9265700552205,9.305422778111884,0.0,0.0
46,Ricarica,2116.517918753593,0.933032931834624,0.0,0.0
46,Parcheggio,88.36783091984651,0.26791862095825547,2.0254551548104005E-13,6.1408902565664E-16
46,Strada,1743.4361791506694,5.668114775635423, , 
47,Noleggio,11013.519968513763,32.38136341764584,0.0,0.0
47,Ricarica,2705.7012456081375,0.8493668997927002,0.0,0.0
47,Parcheggio,94.95377740543326,0.25352802122795837,0.0,0.0
47,Strada,2007.5540946220779,5.713303704697412, , 
48,Noleggio,3754.754509618131,11.221658685589945,0.0,0.0
48,Ricarica,2649.2043132587696,0.9232456893824392,0.0,0.0
48,Parcheggio,95.17607178968427,0.2763040207363211,0.0,0.0
48,Strada,1747.5038803864265,5.163477856451184, , 
49,Noleggio,14496.233562367184,40.54509975284218,0.0,0.0
49,Ricarica,2521.8941940828518,1.1112322307604814,0.0,0.0
49,Parcheggio,90.48675037004354,0.2348495295793876,2.1055006268622162E-13,5.464621391812054E-16
49,Strada,1821.43161281476,4.921111010161298, , 
50,Noleggio,8583.844182336668,25.835927923511317,0.0,0.0
50,Ricarica,3301.092156779996,1.00990823975035,0.0,0.0
50,Parcheggio,106.43225836634663,0.30533582609316945,2.1774696741035328E-14,6.246785626278245E-17
50,Strada,1747.2905550575135,5.240187169713256, , 
51,Noleggio,7066.630591156635,22.0803157075421,0.0,0.0
51,Ricarica,2242.8370951523093,0.520636389893062,0.0,0.0
51,Parcheggio,105.11753345947713,0.31326707903347484,1.3337191273567017E-13,3.974696528045676E-16
51,Strada,1923.0621169785356,5.892560270114872, , 
52,Noleggio,7308.387366052158,19.66630927022758,0.0,0.0
52,Ricarica,3607.6354184046163,1.3398715685473888,1.8817131760819205E-13,6.988660694289698E-17
52,Parcheggio,98.53108887719982,0.2484195985635812,1.7236391525535333E-13,4.3456918138748246E-16
52,Strada,1599.124571314973,4.220422316675582, , 
53,Noleggio,19820.051859999232,47.531114421317184,0.0,0.0
53,Ricarica,2477.062576365451,0.5640761130473818,0.0,0.0
53,Parcheggio,100.94005977359937,0.22895781812979346,4.683781707153314E-14,1.0624012336344411E-16
53,Strada,1733.4506314079097,3.9975691379364826, , 
54,Noleggio,6372.350330033496,17.34478493140699,0.0,0.0
54,Ricarica,2889.070879317366,0.8058776580006236,0.0,0.0
54,Parcheggio,100.80398296796857,0.266897271602369,0.0,0.0
54,Strada,1960.7316316937652,5.207244216949475, , 
55,Noleggio,3712.4602606314193,10.609536557924782,0.0,0.0
55,Ricarica,2894.353385945342,0.8450782127584383,7.010688326166322E-13,2.0469442292887192E-16
55,Parcheggio,98.11053140680171,0.2829970668259837,0.0,0.0
55,Strada,1876.9910247220153,5.1914699936661926, , 
56,Noleggio,7716.362209960682,23.350306675523647,0.0,0.0
56,Ricarica,2983.6133927101405,0.9468035540444756,2.3579492268187027E-13,7.482587099464938E-17
56,Parcheggio,95.22097694184737,0.287227987002454,0.0,0.0
56,Strada,1767.971237445703,5.222585871162818, , 
57,Noleggio,8164.899682569468,24.28390727685079,0.0,0.0
57,Ricarica,1854.5278606554011,0.5459494962238625,2.9103830456733704E-13,8.567798798354598E-17
57,Parcheggio,96.21366926894503,0.27672765138245864,0.0,0.0
57,Strada,1767.632236151766,5.117828632999699, , 
58,Noleggio,14339.70228029908,42.488738247397166,0.0,0.0
58,Ricarica,2992.174034493021,0.798325382591932,8.699514538697575E-13,2.3210692935668595E-16
58,Parcheggio,111.02625954399814,0.31828948065048757,0.0,0.0
58,Strada,1744.032787761753,5.070268444350539, , 
59,Noleggio,7700.476641946777,22.80543779284629,0.0,0.0
59,Ricarica,2813.452014223047,0.8811436016303431,3.2000739506825254E-13,1.0022295287543856E-16
59,Parcheggio,89.4727038749111,0.2559071500409444,7.421863393769467E-14,2.1227791570355544E-16
59,Strada,1802.6928212743026,5.198872767879094, , 
60,Noleggio,17044.90304541421,48.71417903328311,0.0,0.0
60,Ricarica,2247.764530580007,0.8733929477825376,0.0,0.0
60,Parcheggio,103.87250736910313,0.27779139754145854,0.0,0.0
60,Strada,1879.7230892871598,5.245263195314851, , 
61,Noleggio,12580.461889874578,36.18936881363051,0.0,0.0
61,Ricarica,2353.4918549031645,0.775647453091932,0.0,0.0
61,Parcheggio,95.75759740829697,0.2532030477395316,0.0,0.0
61,Strada,1774.3670539390503,5.00301309757889, , 
62,Noleggio,10690.171450963273,36.46589673293652,0.0,0.0
62,Ricarica,2661.37837947206,0.9248766497446826,0.0,0.0
62,Parcheggio,102.30064645150834,0.33500945050390823,2.775652048628817E-13,9.08957763079196E-16
62,Strada,1873.6549330625678,6.29300281264207, , 
63,Noleggio,11028.814835613586,30.719289076182026,0.0,0.0
63,Ricarica,2615.6767837262587,0.6963920258059955,0.0,0.0
63,Parcheggio,91.21908095849581,0.24412652065650045,7.185401864656252E-14,1.9230046370839767E-16
63,Strada,1700.7123784033504,4.688815984519235, , 
64,Noleggio,2977.7472590777506,8.46959984035922,0.0,0.0
64,Ricarica,2368.1849694849197,0.69866500481284,1.4551915228366852E-13,4.2931249265019495E-17
64,Parcheggio,98.84215402828035,0.286251917067772,0.0,0.0
64,Strada,1877.376339967291,5.129009740891621, , 
